sku,description,category,uom,pack_size,preferred_supplier_name,last_paid_unit_price,last_paid_currency,last_paid_date,reorder_point,on_hand_qty,lead_time_days
AL101,Aloe vera extract food grade powder,soil_amendment,kg,5 kg pail,Aloe Corp.,78.50,USD,2026-02-10,10,18,14
RMC101,Microbe complete soil inoculant,soil_amendment,each,8 oz packet,Rootwise,32.00,USD,2026-03-15,20,35,7
PM-C-2.2,Sphagnum peat moss compressed bale,soil_amendment,each,2.2 cu ft bale,Pacific Agri-Supply Co.,18.75,USD,2026-01-22,40,65,10
KM-50,Kelp meal ascophyllum nodosum,fertilizer,each,50 lb bag,Pacific Agri-Supply Co.,42.50,USD,2026-02-18,30,52,10
FBM-50,Feather meal 13-0-0 organic nitrogen,fertilizer,each,50 lb bag,Pacific Agri-Supply Co.,38.00,USD,2026-03-05,25,40,10
BM-50,Bone meal 3-15-0 steamed granular,fertilizer,each,50 lb bag,Pacific Agri-Supply Co.,34.50,USD,2026-01-30,25,45,10
NEEM-1G,Cold-pressed neem oil cosmetic grade,soil_amendment,each,1 gal jug,BioGarden Wholesale,48.00,USD,2025-11-12,8,12,14
MYCO-CASE,Granular mycorrhizae inoculant,soil_amendment,case,case of 12,Fungi Perfecti Supply,145.00,USD,2025-09-20,4,7,21
HUMIC-DRUM,Humic acid liquid concentrate 12%,soil_amendment,each,55 gal drum,Black Earth Organics,385.00,USD,2026-01-08,2,3,18
WC-BAG,Premium screened worm castings,soil_amendment,each,30 lb bag,Cascade Worm Farm,22.00,USD,2025-12-15,30,48,7
ROCK-50,Soft rock phosphate 0-3-0,fertilizer,each,50 lb bag,AgriMineral Corp.,28.50,USD,2025-10-22,20,32,14
KELP-1LB,Fine ground kelp powder,fertilizer,each,1 lb bag,Coastal Kelp Industries,12.75,USD,2026-02-28,40,55,10
GYP-BULK,Pelletized agricultural gypsum,soil_amendment,each,50 lb bag,Western Mineral Supply,15.50,USD,2025-08-14,25,40,7
COMP-TEA-5G,Compost tea liquid concentrate,soil_amendment,each,5 gal pail,Brew-Rite Biologicals,65.00,USD,2026-03-20,6,10,10
ALF-PEL-50,Alfalfa meal pelletized organic,fertilizer,each,50 lb bag,Valley Feed & Seed,32.00,USD,2025-07-18,15,28,10
SOY-MEAL-50,Soybean meal 7-2-1 organic,fertilizer,each,50 lb bag,Heartland Organics,36.00,USD,2025-11-05,15,22,12
COTTONSEED-50,Cottonseed meal 6-2-1 organic,fertilizer,each,50 lb bag,Southern Ag Products,33.50,USD,2026-01-14,15,20,12
NITRILE-M-100,Nitrile gloves 4mil medium blue,hardware_mro,each,box of 100,Meridian Supply Co.,8.50,USD,2026-04-01,10,24,5
NITRILE-L-100,Nitrile gloves 4mil large blue,hardware_mro,each,box of 100,Meridian Supply Co.,8.50,USD,2026-04-01,10,22,5
SHOPRAG-25,Red cotton shop rags,hardware_mro,each,25 lb box,Meridian Supply Co.,18.75,USD,2026-02-12,4,6,5
LUBE-WD40-1G,Multi-purpose lubricant industrial grade,hardware_mro,gal,1 gal can,Meridian Supply Co.,14.50,USD,2025-12-08,3,5,5
EARPLG-FOAM,Corded foam earplugs NRR 32,hardware_mro,each,box of 200 pair,Meridian Supply Co.,42.00,USD,2026-03-18,3,5,5
KMEAL-OMRI-50,Kelp meal OMRI listed organic,fertilizer,each,50 lb bag,Meridian Supply Co.,46.00,USD,2026-02-25,20,38,10
TWINE-NAT-9K,Natural fiber baling twine,packaging,each,9000 ft spool,Meridian Supply Co.,32.50,USD,2025-10-30,6,10,7
KMEAL-50,Norwegian sourced kelp meal,fertilizer,each,50 lb bag,Pacific Coast Amendments Ltd.,44.75,CAD,2026-03-10,20,34,14
FISH-EM-5G,Fish emulsion 5-1-1 liquid fertilizer,fertilizer,each,5 gal pail,NutriGrow Organics,38.50,USD,2026-01-20,8,14,10
ROCK-PHOS-50,Soft rock phosphate granular,fertilizer,each,50 lb bag,NutriGrow Organics,26.00,USD,2025-11-18,20,30,10
GREENS-BUCKWHEAT,Buckwheat cover crop seed,cover_crop_seed,each,50 lb bag,NutriGrow Organics,42.00,USD,2026-03-01,10,18,7
AZOMITE-44,Azomite trace mineral powder micronized,soil_amendment,each,44 lb bag,NutriGrow Organics,30.00,USD,2026-02-05,15,24,10
NEEM-MEAL-50,Neem seed meal OMRI listed,fertilizer,each,50 lb bag,NutriGrow Organics,45.00,USD,2025-12-20,12,20,12
BMEAL-50,Steamed bone meal fine grind,fertilizer,each,50 lb bag,Pacific Coast Amendments Ltd.,36.25,USD,2026-01-28,20,35,14
GYP-AG-2000,Fine grade agricultural gypsum,soil_amendment,each,2000 lb tote,Pacific Coast Amendments Ltd.,210.00,USD,2025-09-15,2,3,21
PERL-4CF,Horticultural perlite grade 3,soil_amendment,each,4 cu ft bag,Pacific Coast Amendments Ltd.,22.50,USD,2026-02-14,15,28,14
MYCO-WP-25,Mycorrhizal inoculant wettable powder,soil_amendment,each,25 lb bag,Pacific Coast Amendments Ltd.,88.00,USD,2025-10-10,5,8,14
PEAT-BALE-3.8,Compressed sphagnum peat moss bale,soil_amendment,each,3.8 cu ft bale,Pacific Coast Amendments Ltd.,24.50,CAD,2026-03-22,30,50,14
PALLET-48-HT,Heat treated pallet 48x40 ISPM-15,packaging,each,,Pacific Coast Amendments Ltd.,12.00,USD,2026-04-05,50,80,7
STRAP-PP-58,Polypropylene strapping machine grade,packaging,each,6000 ft coil,Pacific Coast Amendments Ltd.,58.00,USD,2025-11-25,4,6,10
B-6204-2RS,Sealed deep groove bearing 6204-2RS,bearings_drive,each,,Precision Bearings & Drives,8.50,USD,2025-08-20,10,18,7
B-6205-2RS,Sealed deep groove bearing 6205-2RS,bearings_drive,each,,Precision Bearings & Drives,9.25,USD,2025-09-10,10,16,7
B-6206-2RS,Sealed deep groove bearing 6206-2RS,bearings_drive,each,,Precision Bearings & Drives,11.00,USD,2026-01-05,8,14,7
B-6304-2RS,Sealed deep groove bearing 6304-2RS,bearings_drive,each,,Precision Bearings & Drives,12.50,USD,2025-07-28,8,12,7
PIL-UCP-205,Pillow block bearing UCP-205 1in bore,bearings_drive,each,,Precision Bearings & Drives,18.75,USD,2026-02-20,6,10,10
FLG-UCFL-205,Two-bolt flange bearing UCFL-205 1in,bearings_drive,each,,Precision Bearings & Drives,22.50,USD,2025-12-02,6,8,10
CPL-LM-095,Jaw coupling L-095 with NBR spider,bearings_drive,each,,Precision Bearings & Drives,16.00,USD,2026-03-28,4,6,10
BLT-NK-1HP,NEMA 56 drive belt pulley 1HP,bearings_drive,each,,Precision Bearings & Drives,38.00,USD,2025-10-15,3,5,14
FEM-50,Feather meal 13-0-0 organic,fertilizer,each,50 lb bag,TerraGreen Supply,36.50,USD,2026-04-10,20,35,7
BLDM-50,Blood meal 12-0-0 organic,fertilizer,each,50 lb bag,TerraGreen Supply,42.00,USD,2026-03-25,15,28,7
ALFM-50,Alfalfa meal organic nitrogen source,fertilizer,each,50 lb bag,TerraGreen Supply,28.50,USD,2026-02-08,15,30,7
